course_code,course_title,description,credits,prerequisites,source_url,Required Courses for MSIST,Required Courses for MSCS
PH 718,Data Management and Visualization in R,This course covers basic concepts and techniques for statistical programming with the R computing language.,3,PH711; cons instr.,https://catalog.uwm.edu/course-search/,NO,NO
BUS ADM 743,"Information Privacy, Security & Continuity",Privacy threats and safeguards; identifying information system vulnerabilities; planning and managing security measures. Ethical and legal perspectives concerning information and data.,3,grad st,https://catalog.uwm.edu/courses/bus_adm/,NO,NO
BUS ADM 817,Connected Systems for Business,"Overview of connected systems, including cloud computing and IoT. Design and develop technology infrastructure for business applications. Infrastructure management strategies, security, reliability, and performance considerations.",3,graduate standing.,https://catalog.uwm.edu/courses/bus_adm/,NO,NO
BUS ADM 741,Web Mining and Analytics,"Measurement methods and analysis of web-based data for strategic decisions; methods and technologies in web mining, visualization, predictive analytics and text mining for knowledge discovery and business analysis.",3,graduate standing.,https://catalog.uwm.edu/courses/bus_adm/,NO,NO
BUS ADM 744,Information Technology Strategy and Management,"Various frameworks to evaluate strategic value of IT, aligning IT and competitive business strategies, IT governance models, managing IT operations and outsourcing ethically.",3,grad st,https://catalog.uwm.edu/courses/bus_adm/,NO,NO
BUS ADM 746,Topics in Information Technology Management,Topics are limited to the areas in management information systems and business application. Specific topics and any additional prerequisites will be announced in the Timetable each time the course is offered.,3,grad st.,https://catalog.uwm.edu/courses/bus_adm/,NO,NO
BUS ADM 749,Data and Information Management,"Managing structured, semi-structured and unstructured data, data integrity management, data representation, data integration, governance and administration, data quality and reporting information.",3,grad st,https://catalog.uwm.edu/courses/bus_adm/,NO,NO
BUS ADM 754,Statistical Analysis,"Business applications of probability theory and statistical methods to managerial problems of prediction, inference and decision making under uncertainty.",3,grad st; cons instr,https://catalog.uwm.edu/courses/bus_adm/,NO,NO
BUS ADM 763,Marketing Analytics,Theoretical background provided to develop hands-on experience analyzing marketing data and using statistical models for marketing decisions.,3,grad st; BusMgmt 709(C) or cons instr.,https://catalog.uwm.edu/courses/bus_adm/,NO,NO
BUS ADM 769,Database Marketing,"Introduction to using and analyzing data on current and prospective customers to increase sales, customer acquisition, and customer retention.",3,grad st; BusMgmt 709(C) or cons instr,https://catalog.uwm.edu/courses/bus_adm/,NO,NO
BUS ADM 816,Business Intelligence Technologies & Solutions,"Develop business intelligence (BI) solutions using data warehousing, OLAP, and data mining technologies. Students will use SAP Analytics and other tools for implementing BI solutions.",3,grad st,https://catalog.uwm.edu/courses/bus_adm/,NO,NO
